:Product: Daily Particle Data        2015_DPD.txt
:Issued: 1800 UT 02 Jan 2016
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#                           2015 Daily Particle Data
#
#              GOES-13 Proton Fluence     GOES-13 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2015 10 15    3.6e+05  1.1e+04  2.6e+03   3.9e+09    2.7e+08          -999.99
2015 10 16    1.4e+05  1.1e+04  2.7e+03   1.4e+09    7.9e+07          -999.99
2015 10 17    7.1e+05  1.1e+04  2.9e+03   1.8e+09    1.8e+08          -999.99
2015 10 18    3.0e+05  1.2e+04  2.9e+03   7.3e+08    1.7e+07          -999.99
2015 10 19    2.1e+05  1.1e+04  2.8e+03   1.6e+09    1.4e+07          -999.99
2015 10 20    3.2e+05  1.2e+04  2.7e+03   1.5e+09    3.4e+07          -999.99
2015 10 21    3.9e+05  1.1e+04  2.7e+03   7.1e+08    1.3e+07          -999.99
2015 10 22    1.6e+06  2.0e+04  2.9e+03   6.0e+08    1.4e+07          -999.99
2015 10 23    1.2e+07  2.1e+04  2.8e+03   6.4e+08    1.1e+07          -999.99
2015 10 24    5.2e+06  1.2e+04  2.7e+03   7.4e+08    1.1e+07          -999.99
2015 10 25    5.4e+05  1.2e+04  2.7e+03   3.0e+08    2.7e+06          -999.99
2015 10 26    1.7e+05  1.1e+04  2.5e+03   2.6e+08    2.1e+06          -999.99
2015 10 27    1.7e+05  1.2e+04  2.7e+03   3.5e+08    8.2e+06          -999.99
2015 10 28    4.1e+05  1.1e+04  2.8e+03   4.8e+08    1.4e+07          -999.99
2015 10 29    2.9e+06  7.9e+05  4.7e+04   3.0e+08    5.6e+06          -999.99
2015 10 30    1.6e+06  1.5e+05  5.0e+03   1.0e+08    1.4e+06          -999.99
2015 10 31    3.5e+05  3.0e+04  2.7e+03   6.3e+07    5.6e+05          -999.99
2015 11 01    3.5e+05  1.4e+04  2.6e+03   1.3e+08    6.5e+05          -999.99
2015 11 02    2.3e+05  1.2e+04  2.8e+03   2.6e+08    3.3e+05          -999.99
2015 11 03    6.9e+05  1.2e+04  2.7e+03   2.5e+08    7.7e+05          -999.99
2015 11 04    5.8e+06  1.3e+04  2.4e+03   2.1e+09    7.6e+07          -999.99
2015 11 05    1.4e+06  1.2e+04  2.8e+03   4.3e+09    1.8e+08          -999.99
2015 11 06    1.3e+06  1.2e+04  2.9e+03   6.6e+09    4.3e+08          -999.99
2015 11 07    4.4e+06  1.1e+04  2.5e+03   2.6e+09    1.3e+08          -999.99
2015 11 08    3.4e+05  1.2e+04  2.9e+03   2.9e+09    1.3e+08          -999.99
2015 11 09    1.5e+06  2.0e+04  3.1e+03   3.2e+09    2.8e+08          -999.99
2015 11 10    8.3e+06  8.5e+04  2.9e+03   5.3e+09    6.0e+08          -999.99
2015 11 11    3.1e+06  1.3e+04  2.6e+03   1.1e+10    2.0e+09          -999.99
2015 11 12    9.1e+05  1.1e+04  2.6e+03   1.1e+10    1.8e+09          -999.99
2015 11 13    2.1e+06  1.2e+04  2.9e+03   7.7e+09    1.6e+09          -999.99
2015 11 14    2.4e+05  1.1e+04  2.7e+03   1.5e+09    7.4e+07          -999.99
2015 11 15    2.1e+05  1.2e+04  2.8e+03   1.7e+09    7.1e+07          -999.99
2015 11 16    3.0e+05  1.2e+04  2.8e+03   1.1e+09    5.6e+07          -999.99
2015 11 17    4.5e+05  1.2e+04  3.0e+03   9.8e+08    1.2e+07          -999.99
2015 11 18    4.6e+05  1.2e+04  2.8e+03   8.2e+08    2.0e+07          -999.99
2015 11 19    3.0e+05  1.2e+04  2.8e+03   4.1e+08    1.2e+07          -999.99
2015 11 20    3.9e+05  1.2e+04  2.8e+03   3.2e+08    8.2e+06          -999.99
2015 11 21    2.4e+05  1.1e+04  2.8e+03   3.3e+08    9.6e+06          -999.99
2015 11 22    2.1e+05  1.2e+04  2.9e+03   3.2e+08    9.5e+06          -999.99
2015 11 23    1.8e+05  1.3e+04  3.0e+03   2.9e+08    8.7e+06          -999.99
2015 11 24    2.3e+05  1.3e+04  3.3e+03   3.1e+08    1.0e+07          -999.99
2015 11 25    3.5e+05  1.2e+04  3.1e+03   3.1e+08    1.3e+07          -999.99
2015 11 26    3.5e+05  1.2e+04  2.9e+03   2.7e+08    1.2e+07          -999.99
2015 11 27    2.2e+05  1.1e+04  2.8e+03   7.1e+07    2.4e+05          -999.99
2015 11 28    3.9e+05  1.2e+04  2.9e+03   5.1e+07    4.2e+05          -999.99
2015 11 29    3.2e+05  1.2e+04  3.0e+03   2.4e+07    1.2e+05          -999.99
2015 11 30    3.7e+05  1.2e+04  3.0e+03   2.7e+08    9.0e+05          -999.99
2015 12 01    2.3e+05  1.2e+04  2.8e+03   1.1e+09    4.6e+06          -999.99
2015 12 02    2.1e+05  1.3e+04  2.9e+03   2.8e+09    3.7e+07          -999.99
2015 12 03    1.1e+05  1.2e+04  2.8e+03   3.2e+09    5.9e+07          -999.99
2015 12 04    1.2e+05  1.2e+04  2.7e+03   3.1e+09    6.7e+07          -999.99
2015 12 05    3.0e+05  1.2e+04  3.0e+03   1.4e+09    1.6e+07          -999.99
2015 12 06    1.0e+06  1.2e+04  2.8e+03   1.1e+09    1.2e+07          -999.99
2015 12 07    9.5e+05  1.2e+04  2.7e+03   3.9e+09    1.3e+08          -999.99
2015 12 08    6.4e+05  1.1e+04  2.7e+03   6.4e+09    3.4e+08          -999.99
2015 12 09    8.8e+05  1.2e+04  2.8e+03   6.5e+09    3.4e+08          -999.99
2015 12 10    1.0e+06  1.2e+04  2.8e+03   2.5e+09    8.4e+07          -999.99
2015 12 11    1.6e+06  1.2e+04  2.6e+03   3.1e+09    1.4e+08          -999.99
2015 12 12    5.4e+05  1.1e+04  2.6e+03   4.1e+09    2.0e+08          -999.99
2015 12 13    4.7e+05  1.2e+04  2.7e+03   5.9e+09    3.5e+08          -999.99
2015 12 14    1.8e+06  1.3e+04  3.0e+03   4.1e+09    3.3e+08          -999.99
2015 12 15    2.4e+05  1.1e+04  2.7e+03   8.5e+08    2.7e+06          -999.99
2015 12 16    1.8e+05  1.2e+04  3.0e+03   2.5e+09    1.9e+07          -999.99
2015 12 17    3.0e+05  1.2e+04  3.0e+03   2.5e+09    2.8e+07          -999.99
2015 12 18    2.6e+05  1.2e+04  3.0e+03   2.2e+09    3.4e+07          -999.99
2015 12 19    1.3e+06  1.2e+04  3.2e+03   1.7e+09    3.6e+07          -999.99
2015 12 20    2.0e+06  1.1e+04  2.7e+03   1.3e+08    5.0e+05          -999.99
2015 12 21    5.1e+05  1.1e+04  2.8e+03   1.3e+09    2.7e+07          -999.99
2015 12 22    1.5e+06  1.3e+04  3.4e+03   2.5e+09    6.3e+07          -999.99
2015 12 23    8.6e+05  1.3e+04  3.4e+03   3.5e+09    1.2e+08          -999.99
2015 12 24    1.4e+06  1.3e+04  3.2e+03   2.8e+09    1.3e+08          -999.99
2015 12 25    1.3e+06  1.2e+04  2.9e+03   2.1e+09    1.1e+08          -999.99
2015 12 26    1.5e+06  1.3e+04  3.0e+03   1.7e+09    8.9e+07          -999.99
2015 12 27    1.8e+06  1.3e+04  3.0e+03   4.0e+09    1.5e+08          -999.99
2015 12 28    1.5e+06  3.3e+04  3.3e+03   2.3e+09    7.4e+07          -999.99
2015 12 29    6.4e+06  1.0e+05  3.1e+03   2.6e+09    1.0e+08          -999.99
2015 12 30    7.6e+06  2.3e+04  3.0e+03   1.8e+09    5.8e+07          -999.99
2015 12 31    8.4e+06  1.5e+04  2.5e+03   4.9e+08    1.7e+07          -999.99
